Feature Id,Importances
Street,27.48002760105355
Wind_Speed(mph),17.252230664662367
City_acc,9.4869496538604
State_acc,9.09045221005919
County_acc,7.234714914492329
Hour,4.0256143763243495
Traffic_Signal,3.4910928764912983
Crossing,2.9566737778868917
Start_Lng,2.8449950080409647
Month,2.7171590984366567
Start_Lat,2.573597983445663
Stop,1.3233484806196087
Is_Winter,1.1133777107170841
Junction,1.050876157174486
DayOfWeek,0.9208586033554883
Weather_Condition_Clean,0.9031338417649587
Station,0.8908313695104799
Weather_Event,0.7993163746895472
Temperature(F),0.7828837507838767
Is_Weekend,0.7537367571726923
Humidity(%),0.5947709882951072
Amenity,0.37397848022578345
Is_Rush_Hour,0.2964165208723144
Is_Summer,0.2855362013729854
Give_Way,0.1926617527445649
Visibility(mi),0.1595631715212443
Is_Night,0.13654918699476534
Railway,0.12329437789529661
Precipitation(in)_acc,0.1111035769825819
Bump,0.014383068671286166
Low_Visibility,0.009201715740961623
Freezing_Temp,0.0073038481433979055
No_Exit,0.003365899997842385
High_Wind,0.0
Roundabout,0.0
Traffic_Calming,0.0
Turning_Loop,0.0
